vendor,vendor_style,age,category,description,color,no size,0-6M,0-12M,6-12M,12-18M,18-24M,1-2,3-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,total_quantity,msrp,sale_retail,percent_off,orig_whol,sale_whol,imu,product_weight,product_dimensions,shipping_weight,shipping_dimensions
Trumpettes,DML,,,MINNIE LOVE TIGHTS-PINK,PINK,,,,18,18,,,,,,,,,,,,,,,,36,$21.00,$10.50,50%,$9.50,$4.75,,,,,
Trumpettes,DML,,,MINNIE LOVE TIGHTS-LILAC,LILAC,,,,18,18,18,,,,,,,,,,,,,,,36,$21.00,$10.50,50%,$9.50,$4.75,,,,,
Trumpettes,DMLT,,,MINNIE LOVE TIGHTS-RED,RED,,,,18,18,18,,,,,,,,,,,,,,,36,$21.00,$10.50,50%,$9.50,$4.75,,,,,
Trumpettes,D98,,,FULL MINNIE KNEE HIGH-PINK,PINK,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D98,,,FULL MINNIE KNEE HIGH-LILAC,LILAC,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D98,,,FULL MINNIE KNEE HIGH-RED,RED,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D99,,,MINNIE LOVE KNEE HIGH-PINK,PINK,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D99,,,MINNIE LOVE KNEE HIGH-LILAC,LILAC,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D99,,,MINNIE LOVE KNEE HIGH-RED,RED,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D97,,,MINNIE ARGYLE KNEE HIGH-PINK,PINK,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D97,,,MINNIE ARGYLE KNEE HIGH-LILAC,LILAC,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D97,,,MINNIE ARGYLE KNEE HIGH-RED,RED,,,,18,18,18,,,,,,,,,,,,,,,36,$8.00,$4.00,50%,$3.25,$1.62,,,,,
Trumpettes,D37,,,LITTLE MICKEY'S- 6 PR. GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D37,,,LITTLE MICKEY'S- 6 PR. GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D77,,,SEVEN DWARFS - 6 PR. GIFT BOX,ASST,,,36,,,,,,,,,,,,,,,,,,36,$26.50,$13.25,50%,$12.50,$6.25,,,,,
Trumpettes,D77,,,SEVEN DWARFS - 6 PR. GIFT BOX,ASST,,,,,,,36,,,,,,,,,,,,,,36,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D47,,,MINNIE LOVE SOCKS - 6 PR. GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D47,,,MINNIE LOVE SOCKS - 6 PR. GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D47-TOD,,,MINNIE LOVE TODDLER SOCKS - PINK,PINK,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D47-TOD,,,MINNIE LOVE TODDLER SOCKS - LILAC,LILAC,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D47-TOD,,,MINNIE LOVE TODDLER SOCKS - RED,RED,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D17,,,MICKEY SILHOUETTE-6PR GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D17,,,MICKEY SILHOUETTE-6PR GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D17,,,MICKEY SILHOUETTE TODDLER SOCKS -RED,RED,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D17,,,MICKEY SILHOUETTE TODDLER SOCKS-TURQ,TURQ,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D17,,,MICKEY SILHOUETTE TODDLER SOCKS-BLACK,BLACK,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D106,,,MICKEY NEWBORN BOOTIES-BLACK,BLACK,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D106,,,MICKEY NEWBORN BOOTIES-WHITE,WHITE,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D106,,,MICKEY NEWBORN BOOTIES-TURQUOISE,TURQ,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D111,,,MINNIE NEWBORN BOOTIES-PINK,PINK,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D111,,,MINNIE NEWBORN BOOTIES-YELLOW,YELLOW,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D111,,,MINNIE NEWBORN BOOTIES-LILAC,LILAC,,18,,,,,,,,,,,,,,,,,,,18,$14.50,$7.25,50%,$7.50,$3.75,,,,,
Trumpettes,D57,,,FULL MICKEY -6PR GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D57,,,FULL MICKEY -6PR GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D57,,,FULL MICKEY TODDLER SOCKS - RED,RED,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D57,,,FULL MICKEY TODDLER SOCKS - TURQUOISE,TURQ,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D57,,,FULL MICKEY TODDLER SOCKS - BLACK,BLACK,,,,,,,,18,,,,,,,,,,,,,18,$6.50,$3.25,50%,$3.00,$1.50,,,,,
Trumpettes,D67,,,FULL MINNIE-6PR GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D67,,,FULL MINNIE-6PR GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,
Trumpettes,D157,,,FUTURE MICKEY 6 PR GIFT BOX,ASST,,,24,,,,,,,,,,,,,,,,,,24,$26.50,$13.25,50%,$12.00,$6.00,,,,,
Trumpettes,D157,,,FUTURE MICKEY 6 PR GIFT BOX,ASST,,,,,,,24,,,,,,,,,,,,,,24,$29.00,$14.50,50%,$13.50,$6.75,,,,,